Bin index,yH298-H2O2-treated-facs-pool2,yH298-H2O2-treated-facs-pool2 rank
CP048237.1-23,23,670
CP048237.1-24,48,254
CP048237.1-25,28,546
CP048237.1-26,7,1122
CP048237.1-27,8,1094
CP048237.1-28,21,741
CP048237.1-29,6,1142
CP048237.1-30,8,1095
CP048237.1-31,6,1143
CP048237.1-32,24,645
CP048237.1-33,16,888
CP048237.1-34,34,435
CP048237.1-35,21,742
CP048237.1-36,21,743
CP048237.1-37,11,1026
CP048237.1-38,39,366
CP048237.1-39,51,224
CP048237.1-40,52,214
CP048237.1-41,9,1072
CP048237.1-42,20,763
CP048237.1-43,16,889
CP048237.1-44,22,701
CP048237.1-45,8,1096
CP048237.1-46,40,350
CP048237.1-47,12,999
CP048237.1-48,35,414
CP048237.1-49,29,517
CP048237.1-50,1,1232
CP048237.1-51,43,310
CP048237.1-52,11,1027
CP048237.1-53,14,944
CP048237.1-54,49,243
CP048237.1-55,26,585
CP048237.1-56,4,1177
CP048237.1-57,35,415
CP048237.1-58,13,966
CP048237.1-59,5,1162
CP048237.1-60,39,367
CP048237.1-61,51,225
CP048237.1-62,22,702
CP048237.1-63,17,853
CP048237.1-64,43,311
CP048237.1-65,29,518
CP048237.1-66,21,744
CP048237.1-67,24,646
CP048237.1-68,17,854
CP048237.1-69,22,703
CP048237.1-70,21,745
CP048237.1-71,21,746
CP048237.1-72,3,1204
CP048237.1-73,77,100
CP048237.1-74,40,351
CP048237.1-75,46,281
CP048237.1-76,21,747
CP048237.1-77,6,1144
CP048237.1-78,26,586
CP048237.1-79,26,587
CP048237.1-80,33,454
CP048237.1-81,69,124
CP048237.1-82,75,106
CP048237.1-83,48,255
CP048237.1-84,15,914
CP048237.1-85,54,202
CP048237.1-86,81,83
CP048237.1-87,66,134
CP048237.1-88,51,226
CP048237.1-89,28,547
CP048237.1-90,51,227
CP048237.1-91,103,47
CP048237.1-92,74,110
CP048237.1-93,42,323
CP048237.1-94,37,389
CP048237.1-95,134,24
CP048237.1-96,28,548
CP048237.1-97,244,1
CP048237.1-98,103,48
CP048237.1-99,208,3
CP048237.1-100,44,298
CP048237.1-101,34,436
CP048237.1-102,38,377
CP048237.1-103,35,416
CP048237.1-104,20,764
CP048237.1-105,13,967
CP048238.1-0,2,1221
CP048238.1-1,0,1249
CP048238.1-2,27,570
CP048238.1-3,15,915
CP048238.1-4,68,128
CP048238.1-5,24,647
CP048238.1-6,55,196
CP048238.1-7,39,368
CP048238.1-8,32,472
CP048238.1-9,8,1097
CP048238.1-10,28,549
CP048238.1-11,38,378
CP048238.1-12,32,473
CP048238.1-13,27,571
CP048238.1-14,22,704
CP048238.1-15,49,244
CP048238.1-16,40,352
CP048238.1-17,72,112
CP048238.1-18,52,215
CP048238.1-19,54,203
CP048238.1-20,34,437
CP048238.1-21,9,1073
CP048238.1-22,14,945
CP048238.1-23,11,1028
CP048238.1-24,13,968
CP048238.1-25,38,379
CP048238.1-26,25,613
CP048238.1-27,58,185
