Bin index,yH299-parent-pool3,yH299-parent-pool3 rank
CP048235.1-46,40,352
CP048235.1-47,58,179
CP048235.1-48,48,263
CP048235.1-49,15,918
CP048235.1-50,56,197
CP048235.1-51,19,804
CP048235.1-52,9,1085
CP048235.1-53,49,252
CP048235.1-54,12,1004
CP048235.1-55,42,322
CP048235.1-56,19,805
CP048235.1-57,14,956
CP048235.1-58,12,1005
CP048235.1-59,9,1086
CP048235.1-60,30,514
CP048235.1-61,33,461
CP048235.1-62,33,462
CP048235.1-63,30,515
CP048235.1-64,24,650
CP048235.1-65,6,1159
CP048235.1-66,15,919
CP048235.1-67,10,1065
CP048235.1-68,16,887
CP048235.1-69,43,313
CP048235.1-70,60,165
CP048235.1-71,12,1006
CP048235.1-72,15,920
CP048235.1-73,21,748
CP048235.1-74,38,382
CP048235.1-75,73,103
CP048235.1-76,17,860
CP048235.1-77,16,888
CP048235.1-78,11,1036
CP048235.1-79,26,600
CP048235.1-80,32,478
CP048235.1-81,29,533
CP048235.1-82,22,723
CP048235.1-83,23,687
CP048235.1-84,13,977
CP048235.1-85,10,1066
CP048235.1-86,31,495
CP048235.1-87,16,889
CP048235.1-88,49,253
CP048235.1-89,21,749
CP048235.1-90,48,264
CP048235.1-91,28,551
CP048235.1-92,19,806
CP048235.1-93,2,1225
CP048236.1-0,5,1174
CP048236.1-1,1,1237
CP048236.1-2,6,1160
CP048236.1-3,76,95
CP048236.1-4,83,74
CP048236.1-5,154,10
CP048236.1-6,28,552
CP048236.1-7,49,254
CP048236.1-8,117,33
CP048236.1-9,87,66
CP048236.1-10,30,516
CP048236.1-11,95,54
CP048236.1-12,71,109
CP048236.1-13,56,198
CP048236.1-14,35,424
CP048236.1-15,41,338
CP048236.1-16,46,285
CP048236.1-17,28,553
CP048236.1-18,13,978
CP048236.1-19,65,135
CP048236.1-20,67,126
CP048236.1-21,12,1007
CP048236.1-22,13,979
CP048236.1-23,38,383
CP048236.1-24,22,724
CP048236.1-25,24,651
CP048236.1-26,48,265
CP048236.1-27,38,384
CP048236.1-28,59,173
CP048236.1-29,40,353
CP048236.1-30,9,1087
CP048236.1-31,33,463
CP048236.1-32,25,623
CP048236.1-33,18,829
CP048236.1-34,8,1118
CP048236.1-35,31,496
CP048236.1-36,41,339
CP048236.1-37,22,725
CP048236.1-38,24,652
CP048236.1-39,52,231
CP048236.1-40,12,1008
CP048236.1-41,10,1067
CP048236.1-42,28,554
CP048236.1-43,16,890
CP048236.1-44,24,653
CP048236.1-45,10,1068
CP048236.1-46,9,1088
CP048236.1-47,56,199
CP048236.1-48,4,1194
CP048236.1-49,12,1009
CP048236.1-50,17,861
CP048236.1-51,64,141
CP048236.1-52,20,776
CP048236.1-53,31,497
CP048236.1-54,21,750
CP048236.1-55,42,323
CP048236.1-56,23,688
CP048236.1-57,48,266
CP048236.1-58,30,517
CP048236.1-59,29,534
CP048236.1-60,35,425
CP048236.1-61,4,1195
CP048236.1-62,24,654
CP048236.1-63,36,411
CP048236.1-64,45,293
CP048236.1-65,9,1089
CP048236.1-66,27,578
CP048236.1-67,16,891
CP048236.1-68,11,1037
CP048236.1-69,13,980
CP048236.1-70,50,245
CP048236.1-71,29,535
CP048236.1-72,9,1090
CP048236.1-73,32,479
CP048236.1-74,30,518
CP048236.1-75,12,1010
CP048236.1-76,5,1175
CP048236.1-77,37,400
CP048236.1-78,13,981
CP048236.1-79,20,777
CP048236.1-80,5,1176
CP048236.1-81,16,892
CP048236.1-82,31,498
CP048236.1-83,21,751
CP048236.1-84,27,579
CP048236.1-85,1,1238
CP048236.1-86,35,426
CP048236.1-87,56,200
CP048236.1-88,26,601
CP048236.1-89,34,446
CP048236.1-90,16,893
CP048236.1-91,28,555
CP048236.1-92,42,324
CP048236.1-93,53,224
CP048236.1-94,23,689
CP048236.1-95,8,1119
CP048236.1-96,28,556
CP048236.1-97,8,1120
CP048236.1-98,37,401
CP048236.1-99,7,1136
CP048236.1-100,1,1239
CP048237.1-0,1,1240
CP048237.1-1,1,1241
CP048237.1-2,25,624
CP048237.1-3,34,447
CP048237.1-4,35,427
CP048237.1-5,22,726
CP048237.1-6,7,1137
CP048237.1-7,56,201
CP048237.1-8,35,428
CP048237.1-9,12,1011
CP048237.1-10,12,1012
CP048237.1-11,14,957
CP048237.1-12,15,921
CP048237.1-13,24,655
CP048237.1-14,28,557
CP048237.1-15,11,1038
CP048237.1-16,8,1121
CP048237.1-17,15,922
CP048237.1-18,23,690
CP048237.1-19,31,499
CP048237.1-20,14,958
CP048237.1-21,18,830
CP048237.1-22,24,656
CP048237.1-23,24,657
CP048237.1-24,44,303
CP048237.1-25,20,778
CP048237.1-26,11,1039
CP048237.1-27,11,1040
CP048237.1-28,20,779
CP048237.1-29,7,1138
CP048237.1-30,9,1091
CP048237.1-31,8,1122
CP048237.1-32,23,691
