Bin index,SRR7824843_1,SRR7824843_1 rank
3-167,172,563
3-168,198,413
3-169,169,579
3-170,234,271
3-171,283,150
3-172,309,107
3-173,264,186
3-174,294,131
3-175,235,267
3-176,153,666
3-177,141,745
3-178,140,756
3-179,85,1208
4-0,68,1339
4-1,92,1161
4-2,122,892
4-3,108,1014
4-4,79,1257
4-5,124,871
4-6,139,761
4-7,105,1037
4-8,94,1137
4-9,110,996
4-10,149,691
4-11,145,717
4-12,110,997
4-13,149,692
4-14,153,667
4-15,92,1162
4-16,50,1400
4-17,97,1099
4-18,3,1430
4-19,154,660
4-20,144,723
4-21,81,1243
4-22,88,1190
4-23,141,746
4-24,129,838
4-25,95,1129
4-26,187,481
4-27,229,288
4-28,184,498
4-29,103,1052
4-30,98,1090
4-31,111,983
4-32,92,1163
4-33,120,906
4-34,115,936
4-35,147,703
4-36,99,1079
4-37,178,529
4-38,119,915
4-39,166,592
4-40,161,617
4-41,111,984
4-42,180,514
4-43,158,633
4-44,157,639
4-45,132,818
4-46,125,858
4-47,135,792
4-48,144,724
4-49,96,1115
4-50,135,793
4-51,154,661
4-52,163,608
4-53,125,859
4-54,145,718
4-55,115,937
4-56,191,466
4-57,133,809
4-58,102,1057
4-59,119,916
4-60,242,244
4-61,95,1130
4-62,193,455
4-63,148,698
4-64,207,378
4-65,76,1283
4-66,120,907
4-67,161,618
4-68,111,985
4-69,236,259
4-70,165,600
4-71,193,456
4-72,212,354
4-73,180,515
4-74,237,258
4-75,225,304
4-76,216,341
4-77,236,260
4-78,230,285
4-79,217,334
4-80,185,492
4-81,170,573
4-82,190,470
4-83,213,350
4-84,264,187
4-85,240,249
4-86,246,229
4-87,228,293
4-88,188,477
4-89,165,601
4-90,277,158
4-91,142,740
4-92,345,75
4-93,297,121
4-94,369,59
4-95,243,240
4-96,196,435
4-97,369,60
4-98,196,436
4-99,132,819
4-100,232,279
4-101,236,261
4-102,308,110
4-103,264,188
4-104,233,276
4-105,176,544
4-106,367,62
4-107,222,311
4-108,171,570
4-109,246,230
4-110,313,102
4-111,196,437
4-112,205,380
4-113,180,516
4-114,83,1225
4-115,250,217
4-116,171,571
4-117,200,405
4-118,186,486
4-119,144,725
4-120,142,741
4-121,195,442
4-122,158,634
4-123,194,449
4-124,160,625
4-125,114,949
4-126,305,114
4-127,196,438
4-128,199,410
4-129,187,482
4-130,253,210
4-131,189,474
4-132,232,280
4-133,174,554
4-134,168,585
4-135,125,860
4-136,161,619
4-137,108,1015
4-138,167,588
4-139,176,545
4-140,217,335
4-141,218,328
4-142,124,872
4-143,231,284
4-144,114,950
4-145,181,511
4-146,183,505
4-147,116,929
4-148,192,459
4-149,139,762
4-150,243,241
4-151,133,810
4-152,248,223
4-153,177,535
