Standard name,Common name,Type,Lib _1
C5_01740C_A,MTLA1,ORF|Alternatively spliced|Verified,17
C5_01750C_A,MTLA2,ORF|Verified,48
C5_01760C_A,PIKA,ORF|Verified,6
C5_01770C_A,OBPA,ORF|Verified,22
C5_01780W_A,PAP1,ORF|Verified,1
C5_01790C_A,,ORF|Dubious,12
C5_01800C_A,HIP1,ORF|Verified,32
C5_01810W_A,FCR3,ORF|Verified,13
C5_01820W_A,STI1,ORF|Uncharacterized,20
C5_01830C_A,HAL9,ORF|Verified,58
C5_01840C_A,TAC1,ORF|Verified,43
C5_01850C_A,ZNC1,ORF|Verified,34
C5_01860W_A,,ORF|Dubious,32
C5_01870W_A,,ORF|Uncharacterized,7
C5_01880C_A,,ORF|Uncharacterized,27
C5_01890W_A,,ORF|Uncharacterized,10
C5_01900C_A,,ORF|Uncharacterized,3
C5_01910W_A,GIS2,ORF|Verified,9
C5_01920C_A,,ORF|Uncharacterized,37
C5_01930W_A,,ORF|Uncharacterized,1
C5_01940W_A,,ORF|Uncharacterized,2
C5_01950C_A,RIM21,ORF|Verified,33
C5_01960C_A,,ORF|Uncharacterized,27
C5_01970C_A,CDC24,ORF|Verified,2
C5_01980C_A,,ORF|Uncharacterized,12
C5_01990W_A,,ORF|Uncharacterized,31
C5_02000C_A,ACH1,ORF|Verified,23
C5_02010C_A,,ORF|Uncharacterized,18
C5_02020C_A,,ORF|Uncharacterized,8
C5_02030W_A,RPN8,ORF|Verified,2
C5_02040W_A,,ORF|Uncharacterized,10
C5_02050W_A,,ORF|Uncharacterized,45
C5_02060W_A,,ORF|Uncharacterized,17
C5_02070C_A,,ORF|Uncharacterized,3
C5_02080C_A,HSP12,ORF|Verified,2
C5_02090W_A,,ORF|Dubious,6
C5_02100W_A,,centromere,21
C5_02110W_A,,ORF|Verified,2
C5_02120C_A,RIX7,ORF|Verified,4
C5_02130W_A,,ORF|Uncharacterized,0
C5_02140C_A,,ORF|Uncharacterized,16
C5_02150C_A,ORC4,ORF|Uncharacterized,0
C5_02160W_A,SST2,ORF|Verified,41
C5_02170C_A,GCD11,ORF|Uncharacterized,2
C5_02180C_A,LEU3,ORF|Verified,55
C5_02190C_A,,ORF|Uncharacterized,3
C5_02200W_A,,ORF|Uncharacterized,20
C5_02210W_A,,ORF|Uncharacterized,15
C5_02220C_A,,ORF|Uncharacterized,14
C5_02230W_A,,ORF|Uncharacterized,2
C5_02240W_A,PTH2,ORF|Uncharacterized,30
C5_02250C_A,,long_terminal_repeat,1
C5_02260C_A,PTH1,ORF|Verified,25
C5_02270W_A,THR4,ORF|Uncharacterized,29
C5_02280C_A,,ORF|Uncharacterized,0
C5_02290W_A,PDE1,ORF|Verified,28
C5_02300C_A,RET2,ORF|Uncharacterized,10
C5_02310C_A,,ORF|Uncharacterized,57
C5_02320C_A,,ORF|Uncharacterized,29
C5_02330W_A,,ORF|Uncharacterized,15
C5_02340C_A,CST20,ORF|Verified,53
C5_02350C_A,,ORF|Uncharacterized,9
C5_02360C_A,,ORF|Uncharacterized,11
C5_02370C_A,,ORF|Uncharacterized,21
C5_02380W_A,,ORF|Verified,29
C5_02390C_A,,ORF|Uncharacterized,21
C5_02400W_A,,ORF|Uncharacterized,29
C5_02410C_A,,ORF|Uncharacterized,25
C5_02420W_A,,long_terminal_repeat,0
C5_02430W_A,ZCF22,ORF|Uncharacterized,82
C5_02440C_A,,ORF|Uncharacterized,2
