Bin index,yH298-parent-pool1_normalized,yH298-parent-pool1_normalized rank
CP048235.1-53,64,246
CP048235.1-54,14,1017
CP048235.1-55,52,363
CP048235.1-56,11,1079
CP048235.1-57,19,905
CP048235.1-58,22,835
CP048235.1-59,13,1033
CP048235.1-60,44,433
CP048235.1-61,59,290
CP048235.1-62,44,434
CP048235.1-63,33,618
CP048235.1-64,28,702
CP048235.1-65,4,1194
CP048235.1-66,14,1018
CP048235.1-67,8,1141
CP048235.1-68,25,774
CP048235.1-69,46,411
CP048235.1-70,64,247
CP048235.1-71,13,1034
CP048235.1-72,19,906
CP048235.1-73,31,651
CP048235.1-74,55,325
CP048235.1-75,94,101
CP048235.1-76,20,880
CP048235.1-77,19,907
CP048235.1-78,9,1123
CP048235.1-79,22,836
CP048235.1-80,41,479
CP048235.1-81,47,400
CP048235.1-82,31,652
CP048235.1-83,32,631
CP048235.1-84,18,929
CP048235.1-85,12,1054
CP048235.1-86,48,389
CP048235.1-87,16,974
CP048235.1-88,66,226
CP048235.1-89,32,632
CP048235.1-90,76,169
CP048235.1-91,34,600
CP048235.1-92,27,727
CP048235.1-93,3,1210
CP048236.1-0,5,1184
CP048236.1-1,0,1246
CP048236.1-2,7,1154
CP048236.1-3,77,163
CP048236.1-4,114,62
CP048236.1-5,204,11
CP048236.1-6,35,587
CP048236.1-7,63,255
CP048236.1-8,146,39
CP048236.1-9,111,64
CP048236.1-10,34,601
CP048236.1-11,126,49
CP048236.1-12,111,65
CP048236.1-13,77,164
CP048236.1-14,55,326
CP048236.1-15,53,337
CP048236.1-16,86,133
CP048236.1-17,36,562
CP048236.1-18,13,1035
CP048236.1-19,56,313
CP048236.1-20,79,155
CP048236.1-21,16,975
CP048236.1-22,20,881
CP048236.1-23,59,291
CP048236.1-24,16,976
CP048236.1-25,27,728
CP048236.1-26,43,451
CP048236.1-27,62,263
CP048236.1-28,83,140
CP048236.1-29,42,460
CP048236.1-30,11,1080
CP048236.1-31,53,338
CP048236.1-32,28,703
CP048236.1-33,37,544
CP048236.1-34,4,1195
CP048236.1-35,22,837
CP048236.1-36,46,412
CP048236.1-37,27,729
CP048236.1-38,36,563
CP048236.1-39,68,210
CP048236.1-40,12,1055
CP048236.1-41,17,955
CP048236.1-42,36,564
CP048236.1-43,18,930
CP048236.1-44,35,588
CP048236.1-45,8,1142
CP048236.1-46,16,977
CP048236.1-47,62,264
CP048236.1-48,17,956
CP048236.1-49,15,999
CP048236.1-50,20,882
CP048236.1-51,65,234
CP048236.1-52,19,908
CP048236.1-53,39,503
CP048236.1-54,25,775
CP048236.1-55,40,489
CP048236.1-56,29,684
CP048236.1-57,63,256
CP048236.1-58,36,565
CP048236.1-59,38,527
CP048236.1-60,40,490
CP048236.1-61,5,1185
CP048236.1-62,20,883
CP048236.1-63,53,339
CP048236.1-64,61,269
CP048236.1-65,17,957
CP048236.1-66,30,666
CP048236.1-67,24,803
CP048236.1-68,11,1081
CP048236.1-69,14,1019
CP048236.1-70,66,227
CP048236.1-71,21,861
CP048236.1-72,16,978
CP048236.1-73,39,504
CP048236.1-74,32,633
CP048236.1-75,6,1172
CP048236.1-76,7,1155
CP048236.1-77,38,528
CP048236.1-78,22,838
CP048236.1-79,31,653
CP048236.1-80,4,1196
CP048236.1-81,18,931
CP048236.1-82,52,364
CP048236.1-83,25,776
CP048236.1-84,40,491
CP048236.1-85,1,1231
CP048236.1-86,35,589
CP048236.1-87,45,426
CP048236.1-88,31,654
CP048236.1-89,35,590
CP048236.1-90,17,958
CP048236.1-91,25,777
CP048236.1-92,52,365
CP048236.1-93,54,331
CP048236.1-94,22,839
CP048236.1-95,9,1124
CP048236.1-96,44,435
CP048236.1-97,6,1173
CP048236.1-98,55,327
CP048236.1-99,11,1082
CP048236.1-100,4,1197
CP048237.1-0,1,1232
CP048237.1-1,0,1247
CP048237.1-2,39,505
CP048237.1-3,38,529
CP048237.1-4,36,566
CP048237.1-5,23,821
CP048237.1-6,13,1036
CP048237.1-7,64,248
CP048237.1-8,33,619
CP048237.1-9,16,979
CP048237.1-10,15,1000
CP048237.1-11,26,753
CP048237.1-12,20,884
CP048237.1-13,26,754
CP048237.1-14,23,822
CP048237.1-15,6,1174
CP048237.1-16,12,1056
CP048237.1-17,15,1001
CP048237.1-18,32,634
CP048237.1-19,39,506
CP048237.1-20,18,932
CP048237.1-21,25,778
CP048237.1-22,28,704
CP048237.1-23,24,804
CP048237.1-24,62,265
CP048237.1-25,29,685
CP048237.1-26,9,1125
CP048237.1-27,8,1143
CP048237.1-28,27,730
CP048237.1-29,18,933
CP048237.1-30,4,1198
CP048237.1-31,11,1083
CP048237.1-32,46,413
CP048237.1-33,20,885
CP048237.1-34,36,567
CP048237.1-35,35,591
CP048237.1-36,27,731
CP048237.1-37,9,1126
CP048237.1-38,71,189
CP048237.1-39,53,340
CP048237.1-40,71,190
CP048237.1-41,11,1084
CP048237.1-42,20,886
CP048237.1-43,18,934
CP048237.1-44,25,779
CP048237.1-45,5,1186
CP048237.1-46,25,780
CP048237.1-47,26,755
CP048237.1-48,46,414
CP048237.1-49,27,732
CP048237.1-50,1,1233
CP048237.1-51,73,178
CP048237.1-52,17,959
CP048237.1-53,24,805
CP048237.1-54,69,204
CP048237.1-55,32,635
CP048237.1-56,6,1175
CP048237.1-57,47,401
CP048237.1-58,15,1002
CP048237.1-59,3,1211
CP048237.1-60,42,461
CP048237.1-61,46,415
CP048237.1-62,20,887
CP048237.1-63,30,667
CP048237.1-64,56,314
CP048237.1-65,31,655
CP048237.1-66,27,733
CP048237.1-67,31,656
CP048237.1-68,33,620
CP048237.1-69,29,686
CP048237.1-70,28,705
CP048237.1-71,22,840
CP048237.1-72,10,1103
CP048237.1-73,95,95
CP048237.1-74,34,602
CP048237.1-75,56,315
CP048237.1-76,15,1003
CP048237.1-77,11,1085
CP048237.1-78,34,603
CP048237.1-79,36,568
CP048237.1-80,21,862
CP048237.1-81,67,217
CP048237.1-82,82,145
CP048237.1-83,60,277
CP048237.1-84,28,706
CP048237.1-85,91,116
CP048237.1-86,105,78
CP048237.1-87,87,129
